system:index,areakm2_cab,areakm2_mun,areakm2_munNoCab,mpio_ccnct,.geo
000000000000000000a4_0000000000000000112b_0000000000000000007c,0.9867049771728515,194.35568011462402,193.3830841866455,13300,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_00000000000000000b34_0000000000000000007d,34.359034071777344,1129.9419194658203,1095.5803348168945,13430,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_00000000000000001131_0000000000000000007e,2.0899335639648435,432.2211415384522,430.13628182946775,13433,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_00000000000000001136_0000000000000000007f,3.11064010559082,293.6800581854248,290.5821534393311,13440,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_00000000000000000ad4_00000000000000000080,3.002268464111328,559.9310935324708,556.9299900861816,13442,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_00000000000000001140_00000000000000000081,0.3788628477783203,2092.793085656494,2092.418444514404,13458,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_00000000000000001146_00000000000000000082,4.550317205444336,652.1545603822021,647.6086326782226,13468,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0000000000000000114b_00000000000000000083,0.9210115313720703,1347.5927840316162,1346.6750811273193,13473,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_00000000000000001151_00000000000000000084,0.8036477954101563,775.6020849257812,774.8215812902832,13549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_00000000000000001155_00000000000000000085,0.6885350382080078,183.46692315075683,182.78132838256835,13580,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_00000000000000001159_00000000000000000086,0.7007624240722656,845.236349451416,844.5315670117187,13600,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_00000000000000001163_00000000000000000087,1.9678437602539063,211.63134688269042,209.6621189625244,13647,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_00000000000000001169_00000000000000000088,3.9535407259521484,442.91633202514646,438.9662927224121,13654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_00000000000000001176_00000000000000000089,3.8867941551513674,631.2436065206299,627.3538684660645,13657,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0000000000000000117f_0000000000000000008a,2.5466321606445312,2021.0395060833741,2018.5032888447265,13670,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_00000000000000001189_0000000000000000008b,0.756097427734375,172.78683013085939,172.0316504354248,13673,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_00000000000000001190_0000000000000000008c,4.188087224243164,154.67407907165529,150.485920671875,13683,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_00000000000000001193_0000000000000000008d,2.636351717895508,2382.7864239726564,2380.1531752323,13688,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0000000000000000118e_0000000000000000008e,1.310032376586914,1354.6791017196044,1353.372168498047,13744,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_00000000000000001198_0000000000000000008f,1.5934641165771484,92.59409628063965,90.9955361697998,13760,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0000000000000000119a_00000000000000000090,1.097050356201172,249.29682230053712,248.20387768041994,13780,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0000000000000000119d_00000000000000000091,0.6512482785644531,762.8199940441895,762.1772884805908,13810,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_00000000000000000abf_00000000000000000092,14.884637971435547,201.96824416503907,187.09838515747072,13836,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_000000000000000011aa_00000000000000000093,1.1453240017089843,191.13911017333984,189.99052258300782,13838,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_000000000000000011ae_00000000000000000094,1.399946364868164,137.12299755444337,135.72314622497558,13873,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_000000000000000011a5_00000000000000000095,2.2931382286376953,309.15300512145996,306.8897189792481,13894,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_000000000000000011b0_00000000000000000096,1.0916759697265626,942.1151900275879,941.0232781560059,15047,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_000000000000000011cc_00000000000000000097,6.379323088745117,164.99014911901855,158.61255473693848,15176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_000000000000000011cf_00000000000000000098,0.5622771669921875,677.3850099804688,676.8237207030029,15183,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_000000000000000011d2_00000000000000000099,0.5236988150634766,145.28294198217773,144.7605255378418,15204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_000000000000000011e1_0000000000000000009a,12.703686944091796,234.02420435339354,221.31833847143554,15238,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_000000000000000011f3_0000000000000000009b,2.0363326477050783,193.49941306848146,191.4666801315918,15299,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_000000000000000011f6_0000000000000000009c,1.9000257163085938,36.132425423217775,34.2370977487793,15322,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_000000000000000011fb_0000000000000000009d,0.8014406087646484,59.005647587524415,58.203460755126954,15367,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_00000000000000001203_0000000000000000009e,2.4759458415527344,126.59132166137695,124.11421323840332,15407,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_00000000000000001208_0000000000000000009f,0.954079480834961,258.72563085058596,257.7736510473633,15455,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0000000000000000120b_000000000000000000a0,3.577659458618164,218.28964962023926,214.71254625683594,15469,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_00000000000000001209_000000000000000000a1,0.23343007751464845,60.04272351037598,59.8125592890625,15476,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0000000000000000120c_000000000000000000a2,0.7439574993896484,137.87401520996093,137.13172074096678,15480,"{""type"":""MultiPoint"",""coordinates"":[]}"
